neuron,category,formula,threshold
61,(scene OR scene OR object),(heliport-s OR arch-s OR plane),4.0
62,(object OR scene OR scene),(field OR marsh-s OR corn field-s),4.8
63,(scene OR scene OR scene),(boxing ring-s OR wrestling ring-indoor-s OR catwalk-s),3.8
64,(object OR object OR object),(pool table OR arcade machine OR slot machine),4.9
65,(scene OR scene OR scene),(hospital-s OR ice skating rink-indoor-s OR bullring-s),4.3
66,(scene OR scene OR scene),(bus interior-s OR youth hostel-s OR dinette-vehicle-s),4.6
67,(scene OR scene OR scene),(park-s OR playground-s OR volleyball court-outdoor-s),4.8
68,(scene OR scene OR scene),(classroom-s OR lecture room-s OR cafeteria-s),4.6
69,(scene OR scene OR scene),(shed-s OR outhouse-outdoor-s OR elevator-door-s),4.5
70,((object AND NOT color) OR scene),((bed AND NOT brown-c) OR ball pit-s),4.7
71,(scene OR part OR object),(lobby-s OR balcony OR slot machine),4.5
72,(object OR scene OR scene),(water OR classroom-s OR marsh-s),3.5
73,((object AND color) OR object),((mountain AND blue-c) OR railroad train),3.5
74,(scene OR scene OR scene),(abbey-s OR cloister-outdoor-s OR formal garden-s),5.1
75,(scene OR scene OR object),(jail cell-s OR badlands-s OR grill),4.2
76,(scene OR scene OR scene),(car interior-backseat-s OR catwalk-s OR rope bridge-s),3.7
77,(scene OR scene OR scene),(harbor-s OR industrial area-s OR waterfall-block-s),3.7
78,(scene OR object OR scene),(topiary garden-s OR hedge OR hedge maze-s),5.0
79,(scene OR scene OR scene),(supermarket-s OR assembly line-s OR auto factory-s),3.7
80,(scene OR scene OR object),(arrival gate-outdoor-s OR airport-s OR water tower),5.3
81,(scene OR scene OR object),(gazebo-exterior-s OR temple-east asia-s OR canopy),3.9
82,(scene OR scene OR object),(home theater-s OR television studio-s OR computer),3.6
83,(object OR scene OR object),(case OR classroom-s OR bar),3.8
84,(object OR scene OR object),(skyscraper OR rope bridge-s OR tent),4.1
85,(object OR scene OR scene),(house OR jail cell-s OR jail-indoor-s),4.8
86,(object OR scene OR scene),(house OR industrial park-s OR bank-outdoor-s),3.7
87,(scene OR scene OR object),(alley-s OR corridor-s OR dirt track),5.2
88,(object OR object OR scene),(fountain OR waterfall OR fountain-s),4.7
89,((object OR object) AND NOT scene),((mountain OR waterfall) AND NOT mountain snowy-s),4.6
90,(scene OR scene OR scene),(carrousel-s OR auto factory-s OR kennel-indoor-s),4.4
91,(scene OR object OR scene),(pasture-s OR tent OR junkyard-s),4.2
92,((scene AND NOT object) OR object),((highway-s AND NOT sky) OR bridge),4.7
93,(scene OR scene OR object),(zen garden-s OR gazebo-exterior-s OR hovel),4.8
94,((object OR object) AND color),((plant OR field) AND green-c),4.2
95,(object OR scene OR scene),(pool table OR sandbox-s OR cheese factory-s),3.8
96,(object OR scene OR object),(court OR volleyball court-outdoor-s OR tennis court),5.0
97,(scene OR scene OR object),(carrousel-s OR gazebo-exterior-s OR water tower),3.8
98,(scene OR object OR scene),(cockpit-s OR tower OR bank vault-s),4.0
99,(object OR scene OR scene),(dome OR arch-s OR observatory-outdoor-s),4.6
100,(scene AND NOT (object OR object)),(bathroom-s AND NOT (door OR curtain)),4.9
